"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상"
"전국  (0000000000)","51,325,329","51,325,329","3,332,892","4,651,460","6,197,486","6,575,548","7,922,134","8,695,699","7,630,708","3,966,203","2,045,024","299,638","8,537","25,565,736","25,565,736","1,708,010","2,393,339","3,236,838","3,420,991","4,028,250","4,385,550","3,755,827","1,818,730","748,225","68,553","1,423","25,759,593","25,759,593","1,624,882","2,258,121","2,960,648","3,154,557","3,893,884","4,310,149","3,874,881","2,147,473","1,296,799","231,085","7,114"
"서울특별시  (1100000000)","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129"
"부산광역시  (2600000000)","3,293,362","3,293,362","194,403","263,339","377,587","390,659","484,716","541,925","560,720","320,407","141,906","17,268","432","1,605,431","1,605,431","99,689","135,082","193,992","201,309","244,820","264,670","264,259","144,256","53,412","3,880","62","1,687,931","1,687,931","94,714","128,257","183,595","189,350","239,896","277,255","296,461","176,151","88,494","13,388","370"
"대구광역시  (2700000000)","2,374,960","2,374,960","150,403","214,121","282,470","279,965","356,114","420,799","365,980","195,523","96,888","12,432","265","1,166,803","1,166,803","77,161","110,515","148,961","149,088","176,398","205,400","175,097","86,180","35,074","2,897","32","1,208,157","1,208,157","73,242","103,606","133,509","130,877","179,716","215,399","190,883","109,343","61,814","9,535","233"
"인천광역시  (2800000000)","2,997,410","2,997,410","202,329","272,079","364,103","413,085","480,780","516,033","441,411","197,825","94,397","14,877","491","1,499,016","1,499,016","103,733","139,614","188,915","215,282","247,250","256,886","218,084","91,836","34,124","3,192","100","1,498,394","1,498,394","98,596","132,465","175,188","197,803","233,530","259,147","223,327","105,989","60,273","11,685","391"
"광주광역시  (2900000000)","1,419,237","1,419,237","99,779","147,525","190,905","174,075","227,259","240,674","184,732","99,128","48,185","6,768","207","700,896","700,896","51,028","76,188","99,724","89,847","113,235","119,067","88,343","43,912","18,019","1,516","17","718,341","718,341","48,751","71,337","91,181","84,228","114,024","121,607","96,389","55,216","30,166","5,252","190"
"대전광역시  (3000000000)","1,442,216","1,442,216","96,727","137,836","199,228","187,965","220,131","243,258","202,026","99,140","48,573","7,121","211","719,292","719,292","49,790","71,227","104,190","99,375","109,916","121,334","97,866","45,677","18,132","1,753","32","722,924","722,924","46,937","66,609","95,038","88,590","110,215","121,924","104,160","53,463","30,441","5,368","179"
"울산광역시  (3100000000)","1,103,661","1,103,661","79,086","109,462","122,522","136,909","178,114","204,814","169,307","71,586","28,057","3,725","79","567,153","567,153","40,621","57,056","69,651","74,334","91,773","102,900","85,401","34,534","10,146","728","9","536,508","536,508","38,465","52,406","52,871","62,575","86,341","101,914","83,906","37,052","17,911","2,997","70"
"세종특별자치시  (3600000000)","386,525","386,525","43,541","50,736","37,810","59,340","77,183","54,433","37,233","16,478","8,234","1,494","43","192,524","192,524","22,122","25,585","19,199","29,268","38,244","28,501","18,533","7,793","2,972","302","5","194,001","194,001","21,419","25,151","18,611","30,072","38,939","25,932","18,700","8,685","5,262","1,192","38"
"경기도  (4100000000)","13,630,821","13,630,821","989,550","1,320,631","1,682,138","1,878,734","2,256,931","2,335,999","1,831,793","847,103","423,029","63,061","1,852","6,855,895","6,855,895","506,358","675,747","885,110","979,572","1,150,795","1,177,701","914,132","391,368","159,419","15,304","389","6,774,926","6,774,926","483,192","644,884","797,028","899,162","1,106,136","1,158,298","917,661","455,735","263,610","47,757","1,463"
"강원특별자치도  (5100000000)","1,527,807","1,527,807","90,872","129,053","163,610","158,594","208,819","262,513","275,323","141,876","84,135","12,622","390","768,449","768,449","46,463","66,935","91,639","84,692","106,310","135,485","138,020","65,495","30,543","2,775","92","759,358","759,358","44,409","62,118","71,971","73,902","102,509","127,028","137,303","76,381","53,592","9,847","298"
"충청북도  (4300000000)","1,593,469","1,593,469","103,333","144,446","181,676","187,761","230,702","272,450","257,982","128,433","75,249","11,181","256","810,448","810,448","52,921","74,720","100,616","102,774","119,606","140,085","130,480","60,151","26,651","2,404","40","783,021","783,021","50,412","69,726","81,060","84,987","111,096","132,365","127,502","68,282","48,598","8,777","216"
"충청남도  (4400000000)","2,130,119","2,130,119","143,771","202,057","225,658","251,099","323,996","350,093","325,082","178,624","110,575","18,670","494","1,091,570","1,091,570","73,713","104,493","125,506","136,399","172,380","185,944","165,155","84,068","39,366","4,478","68","1,038,549","1,038,549","70,058","97,564","100,152","114,700","151,616","164,149","159,927","94,556","71,209","14,192","426"
"전라북도  (4500000000)","1,754,757","1,754,757","102,482","164,304","190,813","172,999","245,114","300,818","284,897","171,805","104,131","16,920","474","873,419","873,419","52,352","84,960","103,468","90,056","125,613","156,268","142,143","78,851","35,933","3,714","61","881,338","881,338","50,130","79,344","87,345","82,943","119,501","144,550","142,754","92,954","68,198","13,206","413"
"전라남도  (4600000000)","1,804,217","1,804,217","107,726","158,933","178,152","169,502","240,813","310,282","305,457","189,922","123,690","19,148","592","909,548","909,548","55,007","81,807","99,758","89,471","127,824","167,170","156,840","87,378","40,423","3,801","69","894,669","894,669","52,719","77,126","78,394","80,031","112,989","143,112","148,617","102,544","83,267","15,347","523"
"경상북도  (4700000000)","2,554,324","2,554,324","151,926","217,311","248,255","259,154","357,366","444,707","449,427","252,946","150,000","22,667","565","1,290,298","1,290,298","78,092","113,675","142,133","140,706","186,024","230,473","226,589","117,089","50,686","4,777","54","1,264,026","1,264,026","73,834","103,636","106,122","118,448","171,342","214,234","222,838","135,857","99,314","17,890","511"
"경상남도  (4800000000)","3,251,158","3,251,158","211,999","315,947","322,711","350,135","505,303","582,857","529,417","269,057","141,937","21,352","443","1,636,987","1,636,987","109,126","163,921","181,299","185,290","259,730","297,614","265,076","124,074","46,745","4,055","57","1,614,171","1,614,171","102,873","152,026","141,412","164,845","245,573","285,243","264,341","144,983","95,192","17,297","386"
"제주특별자치도  (5000000000)","675,252","675,252","51,403","70,469","74,037","78,167","108,720","118,487","93,983","47,881","26,824","4,986","295","337,976","337,976","26,386","36,468","39,448","39,613","55,331","61,292","46,954","21,993","9,556","918","17","337,276","337,276","25,017","34,001","34,589","38,554","53,389","57,195","47,029","25,888","17,268","4,068","278"
